baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
True,1644076188.388557,4,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.84375,0.47414597123861313,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076192.6915267,4,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.9375,0.2254207655787468,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076196.2911289,4,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.8697916716337204,0.30489857494831085,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076207.2221038,6,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.7447916716337204,0.5401930958032608,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076211.67813,6,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.6614583432674408,0.7283663526177406,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076214.9223082,6,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.734375,0.5524563565850258,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076217.9371006,10,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.5833333432674408,0.8302000313997269,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076221.215714,10,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.484375,1.092998445034027,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076225.6137967,10,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.5260416716337204,0.976374626159668,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076228.420417,11,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.6354166716337204,0.7802733331918716,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076231.295154,11,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.640625,0.7488206773996353,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076234.5310156,11,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.71875,0.6632732450962067,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076245.207082,12,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.7395833432674408,0.5366901904344559,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076250.483404,12,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.8489583432674408,0.5449690744280815,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076258.581265,12,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.8802083432674408,0.3586155101656914,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076267.6611204,13,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.8489583432674408,0.32860422134399414,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076271.773328,13,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.6875,0.831293448805809,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076274.9756997,13,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.6302083432674408,0.6884477138519287,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076277.7390394,20,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.7604166716337204,0.48995207995176315,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076283.2262068,20,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.9010416716337204,0.2512265220284462,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076288.9683073,20,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.9010416716337204,0.24989622831344604,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076293.2070646,21,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.6875,0.7412117719650269,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076298.9030156,21,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.6875,0.8812925070524216,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
